■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2026-05-11,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2006   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
64,"생, 날선생",2006-05-25,"1,438,331,800",0.30%,"234,261",157,"8,096",한국,한국,(주)시네마서비스
65,"두뇌유희프로젝트, 퍼즐",2006-09-14,"1,450,490,000",0.30%,"228,385",181,"10,574",한국,한국,(주)시네마서비스
66,파이스토리,2006-07-06,"1,306,741,500",0.20%,"228,118",112,"5,676",한국,"한국,미국",씨제이엔터테인먼트
67,국경의 남쪽,2006-05-04,"1,430,718,800",0.30%,"227,120",227,"12,636",한국,한국,씨제이엔터테인먼트
68,"사랑하니까, 괜찮아",2006-08-17,"1,296,756,200",0.20%,"219,824",155,"8,194",한국,한국,(주)시네마서비스
69,사랑할 때 이야기하는 것들,2006-11-30,"1,251,451,700",0.20%,"200,809",195,"10,408",한국,한국,(주)시네마서비스
70,가족의 탄생,2006-05-18,"1,222,105,500",0.20%,"200,570",149,"7,882",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
71,조용한 세상,2006-12-14,"937,877,400",0.20%,"161,142",172,"7,351",한국,한국,(주)프라임엔터테인먼트
72,공필두,2006-05-11,"958,576,600",0.20%,"160,208",164,"8,269",한국,한국,(주)쇼박스
73,해변의 여인,2006-08-31,"1,009,387,200",0.20%,"159,571",141,"6,989",한국,한국,(주)미로비젼
74,손님은 왕이다,2006-02-23,"975,730,600",0.20%,"152,791",147,"7,447",한국,한국,(주)시네마서비스
75,구타유발자들,2006-05-31,"934,380,300",0.20%,"143,061",123,"5,497",한국,한국,(주)프라임엔터테인먼트
76,구미호 가족,2006-09-28,"877,984,800",0.20%,"141,610",140,"8,104",한국,한국,(주)엠케이픽처스
77,연리지,2006-04-13,"696,954,300",0.10%,"114,641",165,"8,009",한국,한국,(주)쇼박스
78,마이 캡틴 김대출,2006-04-20,"663,144,000",0.10%,"107,904",165,"6,327",한국,한국,(주)스튜디오이쩜영
79,아치와 씨팍,2006-06-28,"639,899,800",0.10%,"100,020",121,"5,889",한국,한국,"(주)에이원엔터테인먼트,㈜스튜디오이쩜영"
80,카리스마 탈출기,2006-03-30,"532,419,300",0.10%,"86,027",141,"6,003",한국,한국,씨제이엔터테인먼트
81,무도리,2006-09-21,"363,857,000",0.10%,"59,799",127,"5,051",한국,한국,씨제이엔터테인먼트
82,2월 29일 - 어느날 갑자기 첫번째 이야기,2006-07-21,"354,839,000",0.10%,"56,958",20,962,한국,한국,씨제이엔터테인먼트
83,후회하지 않아,2006-11-16,"245,974,600",0.00%,"39,025",8,869,한국,한국,씨제이엔터테인먼트
84,썬데이 서울,2006-02-09,"227,157,000",0.00%,"36,865",84,"2,748",한국,한국,(주)시네마서비스
85,네번째 층 - 어느날 갑자기 두번째 이야기,2006-07-27,"196,646,000",0.00%,"31,738",17,657,한국,한국,씨제이엔터테인먼트
86,시간,2006-08-24,"182,139,100",0.00%,"27,923",12,"1,140",한국,한국,스폰지
87,폭력써클,2006-10-19,"158,054,900",0.00%,"24,674",108,"3,305",한국,한국,(주)쇼박스
88,비상,2006-12-14,"119,542,000",0.00%,"21,375",12,545,한국,한국,(주)이모션픽처스
89,사이에서,2006-09-07,"109,238,600",0.00%,"21,016",7,760,한국,한국,"필름메신저,씨제이 씨지브이(CJ CGV)(주)"
90,D-day-어느날 갑자기 세번째 이야기,2006-08-03,"120,192,500",0.00%,"19,812",14,484,한국,한국,씨제이엔터테인먼트
91,삼거리극장,2006-11-23,"94,279,400",0.00%,"15,394",57,"1,499",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스"
92,오래된 정원,2007-01-04,"56,142,000",0.00%,"13,400",12,66,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
93,내 청춘에게 고함,2006-07-13,"81,684,000",0.00%,"12,640",8,620,한국,"한국,일본",(주)이모션픽처스
94,다섯 개의 시선,2006-01-13,"43,699,000",0.00%,"6,593",15,457,한국,한국,씨제이엔터테인먼트
